Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,96.7,96,92.5,96.4,99,2060.6,4377919,111.9,14757060,2095323,5195603,102955,404752,143.7,253.8,982800,4614.4,1013051,48,1447.2,157.7
ACATIFLU,96.5,96,92,92.8,98.8,2047.2,4420666,124.3,145.6,1304286,5322823,103376,424171,167.1,256.2,1100450,4431.3,1068596,49.8,1549,3900.5
ACATIMMU,98.1,97,93,93,98.8,2058.6,4642658,130.1,154.6,1589223,5371269,105633,441595,6370.9,271.4,1138771,5264.5,1090132,52.7,1520.9,3830
ACATMEAS,98.2,96.7,93,93,98,2007,5278341,141.9,172.1,181.1,5200916,107061,459547,6602.3,278.4,1155007,510510,1127295,54.7,1609.2,4021.7
DGTSCTEX,97.4,96.6,93,95,98.2,1894,5611107,150.5,184.2,140.4,5441378,111545,455821,6924.5,220.2,1100020,538058,1008721,60.1,1628.9,4295.9
DGTSMREX,97.6,96.2,94,90.9,98.1,1958.6,5419821,161.8,179.4,168,5655395,114045,489652,8006.6,254.6,1164397,590936,1207215,57.7,1736.7,4306.5
DGTSCTHO,97.4,98.2,94.1,92.3,98.1,2000.5,125.4,160.7,188.7,146,5809718,119887,64.4,7770.1,6695.4,1265459,638064,65.9,66.1,1809.6,4121.6
DGTSCTAM,97.3,98,93.6,93.9,97.8,2020.2,127.5,172.8,194,150.3,5200916,124739,67,8734.1,5851.2,1302349,828719,70.2,5339.1,1842.9,4159.2
DGTSMRHO,97.6,97.9,95.1,99.4,97.9,2136.1,127.3,184.6,189.6,194.5,6026161,120111,70.8,9375.2,5529.3,1438961,974302,74,5678.8,1350.7,4055.2
DGTSMRAM,97.3,97.5,95.5,99.6,97.7,2357.6,132.3,190.2,195.2,213.9,86.3,140140,74.1,8905.4,6215.1,1381668,1025566,77.1,6221.9,3903258,4208.5
DUREA000,96,97,95.3,99,97.7,1514166,147.8,195.6,198.6,195.4,87.6,195,77.3,8450.9,5984.8,1469506,1101288,81.5,6095.5,4397020,4317
DUREA100,96,96,97.1,99.6,97.6,1507574,153.5,206.2,197.5,121.9,88.4,202.1,80.4,9004.8,6062.8,127.2,1201665,85.6,6249.2,5364435,4282.2
DUREA101,99,95.5,95,99,97.7,1525188,144.1,4056.9,217.8,150.4,85.8,209,83.1,7541.7,5997.1,126.6,1301833,89.4,5747.6,5874776,4473
DUREA102,99,94,97,99.5,97.3,1622759,8809.4,4247.1,12317.4,5420.1,89.9,206,85.9,8425.6,6094.1,139.1,1314824,93.9,5846.8,6228195,750000
DUREA103,99,92.9,98,99.5,97.3,1742177,8721,3933.3,12338.3,4173.4,93.6,206.9,84.7,3991238,6196.6,141.3,1461057,95.4,5582.4,6830649,590000
DUREA104,99,93,96,99.6,97.4,1622882,8668,3758.1,12753.4,4854.1,97.3,206.6,90.5,4121958,5171.8,140.6,1378805,98.1,5288.3,7388596,635000
DUREA105,99,80.3,98,98.6,95,1783023,8962.7,3987.3,12713.1,4040.9,87.5,211.8,4996.9,4229630,5971.7,131.3,23.2,87.4,5777.5,7629774,655000
DUREA106,99,71,94,98.8,96,175.2,9811,4297,11709.3,4186,101.9,212.8,4713,4481070,985146,136.3,24.1,104.2,5227.3,8005980,690000
DUREA200,99,96,97,99.2,95,172.6,9984.2,4108.4,11385.1,5053.6,2605.6,219.6,4287.3,4709273,1076842,145.2,26,6192.8,5597.2,8276562,786931
DUREA201,99,97,98,99.4,94,173.4,9872.2,4351,11446.3,5265.3,2661.4,224.1,3259.2,4870718,1227169,146.6,27.6,6564.6,337473,7922712,894935
DUREA202,99,97,96,99.1,94,183.6,910067,4650.9,10927.3,4595,2655.1,211.8,2729.5,5097633,1327410,158.9,35.3,6968.2,364038,9240514,936951
DUREA203,99,98,96,95.1,94,196.2,939571,4685.3,11069.8,2786.9,2501.6,243.6,3022.5,5355753,1542224,149.9,40.9,7114.2,374472,60.2,497098
DUREA204,95.2,98,97,93.9,92.3,182,993167,4812.7,10953.1,3324.7,2599.8,7096,2500059,5526977,1608763,156.8,42.4,6919.8,338372,67.5,1126691
DUREA205,98.4,98,95,93.6,93,199.1,1007159,4736.3,10436.6,1723004,2662.6,7493.3,2664921,5860133,1816640,15153.2,44.8,7307.6,423075,82,67.9
DUREA206,98.8,98,96.1,93.7,93,6056.7,1034187,153192,11154.2,1812682,2668.7,7919.6,2898205,5371497,1765349,14668.7,48.1,7674.6,466600,89.3,53.8
