Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,7.2,5.1,8.3,7.3,9.9,7,6.9,8,8,10,7.3,7.1,7.4,9.2,8.1,4,4.2,4.4,5.2,7.1,5
ACATIFLU,7.5,5,8.2,7.7,9.9,7.9,6.9,7.8,10.6,9.1,7.2,6.4,10.3,8.7,6.1,4.4,4.2,4.2,5.4,6.6,4.3
ACATIMMU,8.2,4.9,8.2,7.4,9.7,8,7,7,10.3,9.3,6.9,6.1,10,9.1,5.8,4.1,3.7,4.1,5,6.7,5.4
ACATMEAS,8.5,4.9,7.9,7.1,9.2,8.2,11.3,13.7,10.6,11.7,6.7,5.8,9.7,9,5.2,4.7,3.3,4.1,5.5,6.5,4.4
DGTSCTEX,7.5,4.8,7.6,7.1,9,8.2,10.5,13.1,10.1,11.6,6.6,5,9.6,9.2,5.4,3.2,3.1,4.2,6.3,6.4,5.4
DGTSMREX,7.6,9.5,7.3,6.8,12.2,8.2,9.9,12.7,10,11,6.5,4.9,9.5,8.4,5.2,7.3,3.1,4.6,4.8,6.4,6.7
DGTSCTHO,10.7,9.5,6.9,6.9,12.4,8.3,8.6,12.4,9.9,10.3,6.2,4.7,9.6,8.4,5.1,5.8,3,4.9,5.6,6.3,6.6
DGTSCTAM,10.6,9.8,7,7.1,11.9,8,8.3,12.1,10.4,11,8.1,4.7,9.9,9,5.2,6.7,3.3,5,5.1,5.9,4.1
DGTSMRHO,10,8.3,6.9,6.7,11.8,7.6,7.3,12,10.2,10.6,8.3,4.6,10.2,8.2,4.9,6.9,3,5.1,5.6,5.7,4.6
DGTSMRAM,10.1,7.8,6.9,6.8,12.1,10,7.1,11.8,9.4,10.5,9.3,4.7,10.1,7.5,4.8,7.7,3.2,4.8,4.6,5.6,7.5
DUREA000,10,9.2,6.8,6.8,12.3,8.8,6.8,11.9,9.3,10.3,9.6,4.9,10,7.6,4.9,7.3,2.9,4.7,4.9,3.4,7.4
DUREA100,9.7,8.6,6.6,6.7,12,9.8,6.8,11.7,9.3,10.3,11.2,5.2,9.7,8,5,7,6.8,4.8,4.3,2.8,7
DUREA101,9.9,7.7,6.5,6.4,12.2,10.6,6.4,11.5,9.3,9.8,9.3,5.5,9.5,8,4.8,7,7,4.2,4.3,2.9,7.1
DUREA102,9.8,7.4,6.2,6.2,12.4,9.6,6.3,10.9,12,9.5,10,11.4,9.9,7.2,3.9,8.1,8.9,4.1,4.4,2.8,6.5
DUREA103,9.6,7.4,6.2,6.1,12.3,10,6,10.6,11.2,8.5,12.6,13,9.6,6.6,3.4,7.2,5.3,4.7,4.5,2.6,6.4
DUREA104,10,6.8,8.9,8.1,12,6.9,12.8,10.4,11.8,7.3,12,11.4,9.7,6.7,3.6,6.8,5.9,4.7,5.1,2.6,6
DUREA105,9.9,6.5,8.8,8.2,9.2,13.5,14.5,9.9,10.3,7.2,11.6,10.9,9.9,7.3,3.7,6.6,6.2,4.8,4.9,2.9,5.6
DUREA106,9.6,6.7,8.7,9.1,8.9,14,15,9.9,9.6,7.4,12.4,9.7,9.6,7.3,3.4,6.5,6.9,4.6,4.8,6.8,5.3
DUREA200,9.1,6.3,8.6,7.3,9,13.3,12.1,9.5,10,7.3,11.7,11.4,9,6.9,3.1,6.1,5.2,5,4.4,6.6,5.3
DUREA201,9.1,6.1,8.6,7.3,8.5,12.9,11.6,9.6,10,6.8,11.2,10.7,8.8,7.1,3,6.9,4.4,4.4,3.4,6.4,5.2
DUREA202,8.9,5.8,8.5,7.3,8.1,12.9,14.4,9.1,9.8,6.7,11.5,9.6,8.8,6.9,6.4,6.6,5.7,4.6,4,5.8,4.4
DUREA203,8.7,5.7,8.4,7.3,7.8,12.6,12.6,8.8,10.5,6.4,11.8,8.4,8,6.1,6.4,6.1,4.7,5.7,4,6.2,4.7
DUREA204,8.7,5.5,8.1,7.4,7.5,13.2,10.9,8.4,10.1,11.7,11.3,8.8,8.1,5.6,5.8,5.9,6.5,5.2,3.8,5.1,4.5
DUREA205,8.6,5.4,8,7.5,7.3,12.4,10.9,8.2,10.1,10.7,12,9.8,10.1,4.2,5.4,6.3,6.6,6.2,3.9,4.9,4.3
DUREA206,8.5,5.4,8,7.3,11.7,13.1,11.2,8,9.7,11.5,11.7,8.1,10.4,4.2,5.1,4,6.3,5.7,4,4.6,4.1
DUREA207,8.4,5.4,7.9,6.9,10.3,13.4,9.4,14.1,9.8,11.2,11.1,8.2,10.4,4,6.6,4,5.7,5.8,3.9,4.6,4
DUREA208,8.3,5.3,7.6,6.5,10.2,12.4,8.7,13.3,9.4,11.1,11.7,7.4,10.4,3.9,5.7,3.9,5.2,6.1,3.9,4.6,3.8
DUREA209,8.2,5.2,4.8,10,10.2,11.9,9.2,13.1,9.1,10.6,11.5,7.2,10.9,3.9,5.1,3.7,4.6,5.7,3.9,4.3,3.7
DUREA210,8.1,7.2,4.8,10,10.1,14.3,8.5,13.6,9.1,10.4,11.2,6.8,10.4,4.1,4.5,3.6,4.6,5.7,3.8,4.7,3.6
DUREA211,7.7,7,5,9.6,9.7,14.2,8.3,13.2,8.7,10,11,6.8,10.5,4,4.2,3.7,4.4,5.8,3.8,4.6,3.5
DUREA212,11.3,6.8,5.4,9.5,9.9,14,7.9,12.9,8.8,10.2,11,6.2,10.3,4,4.8,3.6,4.2,5.4,3.8,4.4,3.5
DUREA213,11,6.6,4.5,9.4,9.8,13.8,7.7,12.6,8.5,9.2,10.8,6.1,10.3,4,3.3,3.5,4.3,5.6,5.3,4.3,3.3
DUREA300,11.5,6.3,4.5,9.5,9.1,13.6,7.4,12.2,8.4,9.4,10.8,5.9,10.5,3.9,3.2,3.6,4.3,5.4,5.3,4.2,3.1
DUREA301,11.9,6.2,4.8,9.1,8.1,13.4,7.3,11.9,8.4,11,10.7,6.1,10.5,3.9,3.1,3.6,4,2.5,5.3,4.2,9.3
DUREA302,11.1,6,4.8,9.1,8.3,13.3,7.2,11.6,8.3,10.9,10.8,6,10.1,4.7,3.1,3.4,5.6,2.2,5.6,4.1,10.8
DUREA400,11.5,5.9,8.4,8.8,12.7,13,7.1,11.4,8.1,10.9,10.7,5.8,7.9,4.6,3.1,3.3,5.2,2.3,5.7,4,11.2
DUREA401,11.3,5.9,8.2,8.5,12.6,12.8,6.8,11.1,6.5,10.7,10.4,8.1,7.6,4.6,3,16,4.8,2.5,5.9,3.9,12.5
DUREA402,11.3,5.8,8.1,8.4,12.6,12.6,6.7,7.4,6.5,10.7,10.3,8.2,7.9,4.6,3,19.6,4.5,2.6,6.1,3.9,11.2
DUREA500,11.6,5.8,8.1,7.4,12.6,12.2,8.3,8.2,6.7,10.4,13.9,8.3,7.6,4.7,2.9,11.6,4.3,2.5,6.4,3.7,11.6
DUREA501,11.6,5.6,8.1,7.4,12.4,11.6,8.8,8.7,6.5,10.4,14.6,8.1,6.2,4.2,3,26.2,4.2,2.5,6.7,3.6,11.6
DUREA502,11.3,10.4,8.1,7.5,12.2,11.3,9.3,10.5,7,10.2,15.2,8,6.6,4,3,16.2,3.9,2.6,6.9,11.6,11.7
DUREA503,11.1,10.2,8.1,7.5,11.5,11,8.7,7.3,7.2,10,15.8,7.9,6.7,4,3.2,18.3,3.8,4.8,6.7,11,12.1
DUREA504,9.3,10.1,7.8,7.4,11.4,12.7,8.4,7.6,7.1,10,13.8,7.7,6.7,4,3.1,17.7,3.8,4.8,7.1,10.6,12.7
DUREA505,9.1,10.1,7,7.2,11.3,12.5,8.2,7.7,7,9.6,13.9,7.4,10.5,4.1,6.1,21.4,3.8,4.8,5.6,10.4,12.5
DUREA506,9.5,10,6.7,7.4,10.9,10.6,8,7.5,7.6,9.4,14,7.5,10.4,4,5.9,18.6,4,4.8,5.2,10.2,12.2
DUREA600,9.6,10.1,6.9,7.5,10.6,11.2,7.4,11.9,7.4,8.9,13.7,7.3,10.4,4,5.8,19.6,3.7,4.5,5,10,6.9
DUREA601,9.5,9.4,5.6,7.2,10.2,11,6.8,11.5,7.1,8.7,13.8,7,10.4,4,5.7,21.1,7,4.9,4.9,10,7.1
DUREA602,9.7,9.5,6.4,7.2,12.7,10.9,6.6,11.3,7.1,8.6,14,6.8,10.5,3.9,5.5,21.3,6.9,4.8,4.7,10.1,7.6
DUREA603,9.4,9.3,6.3,7,12.5,11.8,6.2,11.3,11.3,8.6,13.7,12.9,10.3,3.9,5.3,5.1,6.7,4.8,4.3,10,8.2
DUREA604,5.2,8.7,6.6,6.8,12.5,11.9,6,11.3,11.1,8.4,13.7,12.1,10.3,3.7,5.2,4.5,6.6,4.4,4.2,9.9,7.5
DUREA605,5.1,8.2,6.9,13.3,12.6,11.8,13.5,11.3,11.2,8.3,11.9,11.8,9.8,3.6,5.1,7.7,6.9,4.1,4.1,9.2,7.3
DUREA700,5.1,8,6.6,13,12.4,11.8,13.2,11.1,11.1,8.3,11.1,12.1,8.2,3.6,5,7.8,7,4.3,3.9,9.3,7
DUREA701,5.2,8.4,6.5,12.9,12.3,12.7,13.2,10.5,10.9,8.4,12.1,11.8,7.2,3.7,4.9,6.6,7,4.8,3.5,7.3,3.6
DUREA702,5.2,8.2,6.5,12.8,12.3,10.6,12.9,9.9,10.9,8.4,11.4,12,7.8,3.8,4.8,7,6.9,4.5,3.2,7,3.5
DUREA800,5.2,8,6.6,11.7,12.3,11.6,12.7,8.9,10.5,8.3,12.8,12.1,6.6,3.4,4.7,7.7,6.4,4.8,3.8,6,3.4
DUREA900,4.6,8,6.5,11.5,12.3,13.2,12.7,9.1,10.5,8,11,12.2,9.1,3.4,6.5,4.1,6,4.7,3.9,5,3.4
DUREA901,5.3,7.8,6.4,11.3,12,12.9,12.3,7.8,10.2,7.9,10.6,11.6,9.4,3.4,7,4,6.2,4.1,4.2,5,3.3
DUREA902,5.5,7.6,6.7,11.3,11.6,13.2,12.4,8.9,9.6,7,7.4,11.1,9.7,7,6,4,6.1,4.9,4,5,3.3
DUREA903,5.4,7.4,6.1,10.7,11.5,13.6,12,8.8,9.3,7,7.5,9,9,6.5,5,4,6.2,4.4,4.2,5.7,2.9
DUREA904,5.7,7.1,8.1,10.5,6.7,7.4,11.4,9.3,12.4,7,7.6,8.5,9.8,6.9,5,4,6.3,4.4,3.9,5.8,3
DUREA905,5.7,6.7,8.1,10.1,7,7.1,8.9,9.1,12.2,7,8.2,9.3,10.1,6.6,5,4.2,6.4,4.2,4.2,6.1,3.3
DUREA906,7,8.7,8.1,12.2,7,7,8.7,8.7,11.9,6,7.9,9.1,9.7,7.2,4.6,3.6,6.2,4.1,4.1,5.8,3.3
DUREA907,6.7,8.4,7.5,12.1,8,6.9,9.7,9,11.5,6,7.3,9.1,10.2,7.2,4.5,4,6,4.1,4.3,5.8,3.1
DUREA908,6.4,8.2,7.4,11.6,7,6.9,9.4,8,11.2,7.9,5.9,9.1,9.7,6.9,4.7,3.8,5.3,3.7,4.5,5.8,3
DUREA909,5.6,8.1,7.4,11.1,7,6.8,9.1,8.7,10.8,7.8,7.3,9.3,8.7,7.3,4.6,4,5.3,5.1,4.6,5.5,3.7
DUREA910,5.5,7.9,7.3,10.9,6.5,5.7,9.2,8.9,10.7,7.9,8.4,8.7,8.7,7.5,4.4,4.1,5.5,4.6,5.1,5.4,3.5
DUREA911,5.3,7.9,7.2,10.4,6.4,6.6,8.9,8.2,10,7.9,7.8,8.4,9,7.3,4.4,4.1,5.3,4.6,7.9,5.4,3.3
DUREB000,5.2,8.2,7.3,10.3,6.6,7.2,8.4,7.2,10,7.7,7.1,7.5,8.9,7.6,4.1,4.4,4.5,5.1,7.5,5,2.4
