Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,4.6,3.7,5.7,4.9,4.7,6.4,5.7,5.2,4.7,4.4,5.1,7.1,5.9,3.1,7.5,7.5,8,6,5.6,6,6.9
ACATIFLU,4.5,4.2,5.5,4.8,4.5,6.4,5.6,5.2,5.1,8.1,6.1,7,5.7,5.2,4.6,7.4,4.6,5.7,5,5.8,6.4
ACATIMMU,4.3,6.5,5.5,5.1,4.6,6,5.7,5.3,3.5,8.1,8,6.9,6.6,6.6,4.3,4.4,5.3,5.3,7.7,5.9,6.5
ACATMEAS,4.3,6.1,6.3,4.5,5.7,4.7,5.2,5,4.2,7.8,8.2,4,6,7.9,4.3,4.8,4.6,5.1,5.3,6.2,7.2
DGTSCTEX,4.5,6.4,6.4,4.3,5.7,4.5,5.3,8.4,4,7.8,5.2,3.9,5.6,3.7,4.2,4.8,4.3,5.1,5.9,5.9,7.3
DGTSMREX,4.1,6,6.3,4.6,5.6,4.4,5.1,8.5,4.2,7.8,5.2,3.7,5.4,4.5,4.1,4.9,4.4,5.5,5,5.7,7.4
DGTSCTHO,4.1,6.1,6.3,4.4,5.6,4.2,4.9,8.4,4.2,7.9,5.3,3.6,5.4,3.5,4.1,5.2,4.1,5.5,5,5.9,7.4
DGTSCTAM,3.9,5.7,6.2,4.2,5.5,4.3,4.6,8.4,4.1,7.7,5.7,3.5,5.4,5.2,4,5.5,4.5,5.7,6.5,6.3,6.7
DGTSMRHO,3.7,5.7,6.2,4.2,5.5,4.3,4.6,8.4,3.9,7.4,5.9,3.6,5.1,4.4,4,4.8,6.7,5.9,6,6.3,6.9
DGTSMRAM,3.8,5.4,6.1,4,5.5,4.4,4.6,8.5,3.9,7.2,6.1,3.5,5.2,3.7,3.9,5.2,6.9,6,5.6,8.5,5.8
DUREA000,4,5.2,6.1,4,5.2,4.4,4.7,8.5,3.7,7.1,5.6,5.5,4.9,3.8,3.9,4.9,7.7,6.3,4.6,8.7,5.8
DUREA100,4.1,5.2,6,3.8,5,4.4,6.6,8.6,3.5,7.2,5.6,5.3,4.9,4.8,7.7,6,6.6,6.1,5.2,8.2,5.4
DUREA101,4.1,4.8,6,3.9,5.2,4.4,6.6,8.6,3.6,7,5.4,5.2,5,2.9,7.6,5.8,7.2,7.6,5.1,8.2,5.2
DUREA102,4.2,4.8,5.9,3.9,5,4.5,6.5,8.6,3.5,3.2,4,4.9,4.6,3.6,7.4,5.5,6.4,7.8,5.2,8.5,5.2
DUREA103,4.3,4.9,5.9,3.7,4.9,6.5,6.5,8.9,6.8,3.5,3.9,4.8,8.8,3.4,7.4,5.2,6.2,7.7,5.4,8.1,5.2
DUREA104,4.2,4.9,5.8,3.8,1.8,6.5,6.4,9.1,6.8,3.1,3.7,4.8,8.8,3.6,7.3,5.4,5.9,7.7,5.3,8.2,5.1
DUREA105,5.4,4.8,5.9,5.5,1.7,6.5,6.3,10.2,6.8,3,3.6,4.6,8.7,3.4,7.7,5.4,5.4,7.8,4.7,7.7,5
DUREA106,5.3,4.8,5.5,5.4,1.7,6.8,6.2,11.3,6.8,3.3,3.6,4.2,8.7,3.4,7.3,5.6,5.9,7.9,4.8,7.7,5
DUREA200,5.5,4.8,7.1,5.3,1.9,6.8,6.2,7.5,6.6,3.4,3.6,4.4,8.6,3.5,7.2,5.5,6.4,8.1,4.5,7.6,5
