Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
DUREA401,5.5,5.2,6.5,5.7,12,7.3,6.3,6.1,11.3,9.7,5.5,8.2,6.9,11.8,15.2,5.7,3.6,6,6.6,7.9,7.1
DUREA402,5.1,4.8,6.1,5.4,11.4,7.2,5.8,6.2,11,10.1,5.2,8.3,7.3,11.8,14.8,7.2,2.6,5.8,6.3,8.4,7.1
DUREA500,4.8,4.3,6,11.4,11.6,7.1,5.9,6.2,11,10.5,5.1,8.6,7,11.2,15.5,7.1,7,5.4,6.2,5,6.6
DUREA501,4.8,4.1,6.2,11.1,11.7,6.7,5.6,11.5,11.2,10.1,10.6,8.3,6.9,11.1,8.3,7.4,7.3,5.1,6,4.8,6.2
DUREA502,4.8,3.9,6.1,10.8,11.1,6.4,5.5,11.5,11.3,9.9,10.3,8.5,6.9,10.8,10.4,6.6,7.2,6.3,5,5.2,6
DUREA503,4.6,4,8.1,10.5,10.6,8.6,5.5,11.7,11.3,11.3,11.1,8.4,6.3,10.7,8.5,10.8,7.8,6.3,5,5.4,6.2
DUREA504,4.4,3.8,8,10.3,10.8,8.3,5.2,10.9,11.1,14.9,10.2,7.7,6.1,10.3,9.5,11.6,6.9,6.4,5,5.2,6.1
DUREA505,5.8,3.8,7.4,10,7.1,7.2,4.9,10.9,11,11.9,10.3,6.8,5.9,10.4,8.9,11.3,6.7,6.2,5,5.1,5.8
DUREA506,5.7,3.8,7.1,9.9,9.8,8.2,4.1,10.5,10.9,11.6,10.7,7.1,5.6,10.1,10.7,10.4,6.5,6.4,6.4,4.4,5.7
DUREA600,5.5,3.8,7.1,9.7,10,8.5,3.8,9.3,10.6,12.1,10.3,7.6,5.2,9.9,9.3,10.5,6.6,6.3,6.3,5,5.4
DUREA601,5.3,2.9,6.4,9.6,7.5,8,4,9.1,10.2,16.9,10.1,5.3,4.8,7.5,4.9,10,6.7,6.2,6.3,4.9,5.3
DUREA602,5.3,2.5,6.4,9.3,9,8.5,5.2,9.1,10.1,11.2,10,5.6,4.4,7,5.2,10.6,6.3,5.9,6.1,5.7,5.4
DUREA603,5.1,2.8,5.7,8.9,9.6,7.9,5.8,8.2,6.6,5.1,8.7,5.6,5.2,6,5,10.6,7.6,5.9,6.1,5.3,5.1
DUREA604,5.1,2.3,5.5,8.7,10.1,7.1,5.4,7.6,7,5.1,6.7,5.6,5.1,5,5.2,10.3,6.2,6.3,5.6,4.8,5
DUREA605,5,3.9,5.1,7.4,4.9,6.3,5.6,8.7,6,5.2,6.4,7.2,5.1,6,5.2,8.8,6.4,6.4,5.9,5.3,5.3
DUREA700,5.1,4.1,4.7,7,4.8,11.4,5.6,9,5,5.1,6.4,5.7,5,5,5.1,8.2,6.2,6.9,6,5.2,5.1
DUREA701,4.6,3.7,5.1,6,4.8,10.5,5.3,8.7,6,5.3,6.8,5.8,5.1,6.5,4.4,6.1,5,6.2,5.3,4.8,5
DUREA702,9.1,3.7,4.8,6,4.9,10.6,5.4,8.7,6,5.1,7.1,5.8,5,6.9,4.8,5.9,6.6,6,5,3.7,4.8
DUREA800,8.9,4.3,5,6,4.7,10.2,5.7,8.6,4.7,4.6,6.4,6.1,4.7,6.7,5.2,5.8,6.5,6.3,5.1,3.6,4.7
DUREA900,9.2,3.5,4.9,6,4.8,9.3,5.7,7.9,5,5,6.3,5.8,4.4,6.5,5,5.8,5.5,6.5,5.1,3.5,4.5
DUREA901,8.8,3.3,4.6,7.6,4.3,9.6,5.3,7.8,4.9,5.1,6.5,5.3,4.7,6.9,5.3,5.7,4.9,6.4,6.7,3.5,5.5
DUREA902,8.5,3.3,4.6,8,4.8,9.9,5.5,7.3,4.9,5.1,6.2,5.4,4.7,6.6,5.2,5.6,5.2,6.4,5.3,3.6,5.4
DUREA903,8.3,3.3,4.3,8.3,5,9.1,5.7,7.5,5.1,5.1,5.8,7.6,4.5,6.6,5.4,6,7,6.3,6.1,3.5,5.2
DUREA904,8.1,3.2,4,8,5,9,5,7.6,5.1,5.7,5.7,7.9,4.7,6.8,5,6,4.8,6.2,6.1,3.1,5.2
DUREA905,7.5,2.9,4.1,8.4,4.7,8.7,5.9,6.7,5.4,7.5,10.6,7,8.3,6.2,4.8,5.9,6.1,6.2,7,3.2,4.9
DUREA906,7.3,2.7,4.2,8.2,4.6,7.5,6,7.2,4.8,7.2,10.1,7.1,8,6.1,4,5.8,3.9,5.9,8.5,3.1,4.8
DUREA907,6.7,3.3,3.9,7.8,5.3,7.3,5.8,8.8,5.1,6.5,9.6,7.7,7.9,6.7,3.9,5.2,7.9,5.9,8,5.8,5
DUREA908,6.1,3.7,3.9,7.7,5.2,6.8,6,8.7,5.3,6.4,9.5,9,7.9,6.5,3.6,5,6,5.5,8.7,6.5,4.5
DUREA909,4.8,3.3,9.7,7.3,4.9,6.8,5.6,7.6,5.1,6.1,9.3,7.4,7.7,8,3.3,5.7,7.3,5.4,8.9,5,4.5
DUREA910,4.5,3.8,9.2,7,4,6.6,6.1,8.1,5.1,5.8,9.2,7.5,7.7,9.1,3.1,5.2,7.8,5.3,7.8,6.9,4.3
DUREA911,4.2,3.6,8.2,7.5,3.5,6.4,5.2,8.8,5.5,5.9,9.5,7.1,7.7,8.3,2.9,5,7.3,6,8.1,5.6,4.3
DUREB000,4,3.2,8.2,6.9,3.4,6.4,5.6,8.7,8.9,5.9,9.5,6.7,7.4,8.9,2.8,4.6,7.2,5.5,7.7,9.5,4.3
