Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,4.3,6.3,6.3,11.6,8.4,7.8,8.5,3.1,4,1.9,3.9,3.9,4.1,5.6,3.7,5,3,1.9,4.2,2.4,3.4
ACATIFLU,4.3,6.2,9.5,11.3,8.1,7.7,8.2,2.9,4,2.9,3.8,3.7,3.7,5.7,4.1,4.4,2.9,1.9,4.2,2.2,3.3
ACATIMMU,4.3,5.8,9.6,11.8,7.7,11.2,3,3.1,3.2,3,3.9,3.1,3.6,5.5,3.9,4.5,2.9,1.8,4.1,2.3,3.1
ACATMEAS,4.1,4.9,9.6,11.5,7.6,10.9,2.9,3.1,4.7,2.9,3.8,3.1,3.5,5.5,3.9,4.5,2.7,4.7,4,2.2,3
DGTSCTEX,6.6,9.1,9.3,11.4,7.8,10.8,2.8,2.4,4.6,2.7,3.7,3.1,3.5,5.7,3.7,4,2.6,4.5,4,2,2.9
DGTSMREX,6.4,8.9,9.2,11.6,7.5,10.6,2.8,2.6,4.4,2.6,3.4,3.2,3.6,5.5,3.6,4,2.5,4.5,3.9,2.1,4.1
DGTSCTHO,6.4,8.5,8.7,11.7,7.4,10.7,2.7,2.3,4.3,2.7,3.3,3.1,3.4,5.4,3.4,3.8,5.7,4.3,3.8,5.6,3.9
DGTSCTAM,6.1,8.4,8.8,11.5,6.8,10.5,2.7,2.5,4.3,2.6,3.3,3,3.4,5.6,3,3.5,5.6,4.2,3.7,5.5,4.2
DGTSMRHO,6.2,8.2,8.2,11.3,6.6,10.3,2.6,2.2,4.1,2.4,3.5,2.8,2.4,5.4,3.6,1.8,5.2,4,6.2,5.3,4.9
DGTSMRAM,6,8.4,8.2,11.3,6.4,10.1,2.6,2.2,4.2,2.4,3.8,2.8,2.4,5.3,3.5,1.4,5,3.8,5.8,5.1,4.5
DUREA000,5.9,8.4,7.7,11.2,6.4,9.9,2.5,4.1,4.2,2.1,3.6,2.6,2.4,2.8,3.5,1.5,4.9,3.6,5.6,4.8,4.7
DUREA100,5.9,8.3,7.6,11.3,6.2,9.9,2.4,4.1,4.2,2.1,3.6,3.3,2.5,2.5,3.4,2,4.7,3.4,5.2,4.7,4.7
DUREA101,5.6,8.3,10.3,11.2,6.3,9.6,2.4,4.1,4,2.1,4,3.4,2.5,2.6,3.3,1.9,4.5,3.2,4.6,4.5,4.6
DUREA102,5.7,8.2,10.3,11.2,6.1,9.5,4,4,3.7,6,3.8,3.2,2.4,2.5,3.1,2,4.4,3.1,4.4,4.3,3.1
DUREA103,5.5,8.1,10.2,11.1,6.1,8.8,3.8,4.1,3.6,5.4,4.2,3.3,2.4,2.6,3.1,1.9,4.4,2.9,4.3,4.2,2.9
DUREA104,5.6,7.6,10.3,10.9,9.3,9,3.7,4,7.8,5.1,4.3,3,2.3,2.4,3,5.1,4.3,5.7,4.3,4,2.8
DUREA105,3.7,7.5,10.3,10.7,9,8.9,3.4,4,6.7,5.1,4.1,3,2.2,2.4,3,4.8,4.1,5.4,4.1,3.9,2.7
DUREA106,3.8,7.6,10.2,13.6,8.9,9.2,3.3,3.9,6.5,4.8,4.2,3,2.2,2.3,2.9,4.5,4,5.2,4,3.7,2.7
DUREA200,5.3,7.6,10.1,12.8,8.6,6.8,3.4,3.8,8.4,4.6,4.2,2.6,2.2,2.3,2.9,4.6,4.2,4.9,4,4.5,2.6
DUREA201,4.4,7.5,10,13,8.3,7,3,3.6,7.2,4.3,4.1,3.7,2.1,2.3,2.9,4.5,4,4.7,3.9,4.3,2.5
DUREA202,4.5,7.6,10,13.5,8.4,7.2,3.3,3.5,7.1,4.3,3.3,2.8,5.7,2.3,5.8,4.3,4,4.5,4.8,4.2,2.4
DUREA203,4.6,7.7,10,13.2,8.1,7.2,4,3.4,7.6,4.3,3.1,2.6,5.4,2.3,6.6,3.9,3.8,4.4,4.6,4.2,2.3
DUREA204,4.7,7.6,9.8,13.7,8.1,10.2,3.5,6.5,6.9,3.9,3.1,2.7,5.1,7.2,6.9,3.9,3.6,4.3,4.8,4.1,2.3
DUREA205,4.6,7.5,9.6,13.6,8,10.1,3.4,6.3,7.7,3.7,2.9,3.6,4.9,5,7,3.8,3.2,4.2,4.5,4.1,2.4
DUREA206,5.4,7.5,11.1,13.5,7.8,9.9,3.2,5.9,7.6,3.6,2.7,3.6,4.7,4.7,6.4,3.5,3,4,4.2,3.9,2.2
DUREA207,5.3,7.4,10.9,13.5,7.8,10,3.8,5.7,7.2,4.8,2.8,3.7,4.5,4.3,6.4,3.4,2.8,3.8,3.9,3.9,3.4
DUREA208,5.2,7.2,10.8,13.3,7.7,10.1,3.9,5.6,7.3,5,2.6,3.6,4.3,5.4,5.4,4,2.7,3.7,3.8,3.9,3.3
DUREA209,5,11.5,10.7,12.9,13.2,10,3.7,5.5,4.7,4.7,2.6,3.6,3.9,4.5,5.5,4.8,2.6,4,3.1,3.8,3.3
DUREA210,5,11.5,10.6,12.5,12.7,10,3.6,5.5,4.7,4.5,2.4,3.5,3.9,4.2,5.7,6,2.4,4,3.1,5.8,3.2
DUREA211,4.8,11.2,10.4,11,12.5,9.7,3.6,5.4,3.1,4.8,2.2,3.2,3.6,6.6,5.6,6.8,2.6,4,3.1,5.6,3.1
DUREA212,4.8,11.3,10.3,11,12.6,8.9,3.4,5.3,6.2,4.6,2.3,3,3.5,6.3,4.8,6.5,2.5,4,3.1,5.9,3.1
DUREA213,4.7,11.1,10.2,11.1,12.5,8.4,3.2,5.1,4.4,3.8,3.1,2.9,3.3,5.9,4.7,6.1,2.5,4,3.1,5.6,3
DUREA300,3.8,10.6,10.2,11.4,12.7,8.8,3.1,4.8,5.4,4.1,4.3,2.8,6,6,4.8,6.6,2.3,4,3.1,5.5,3
DUREA301,3.5,10.5,10,10.8,11.6,7.1,3.1,4.6,3.5,4.2,3.3,2.6,4,7.1,4.8,5.7,2.3,5.6,2.9,5.4,2.9
DUREA302,3.8,10.4,9.7,11.3,11.8,8,2.8,6.5,4,4.1,4.1,7.1,4,6.4,4.9,5.1,2.2,5.5,3.1,5.2,2.8
