Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,19.7,19.8,10.7,16.8,10.1,10.9,15.2,8.9,11.5,12.9,8.4,97.7,22.1,14.9,12.6,8.1,5.4,7.1,7.4,4.8,8.1
ACATIFLU,27.9,17.3,13.7,15.2,9.2,10.2,15.4,9,14,13.5,6.5,12.8,15.9,15,18.2,8.3,5.9,7,7.6,4.4,8
ACATIMMU,22.1,19.1,13.8,19.5,8.7,10.2,15,8.9,14.1,13.2,6.9,13.9,9.4,15.5,12.8,8.4,5.5,7,7.8,4.6,7.9
ACATMEAS,20.8,21.3,13.3,18.8,8.7,9.5,14.8,9.1,14.3,13.4,7.7,21.6,14.4,12.8,20.5,8.5,5.3,7.1,8.2,5.9,7.9
DGTSCTEX,15.3,21.7,13.9,20,8.5,9.6,15.1,8.8,13.9,14,8.2,15,12.7,14.7,22.6,8.5,5.2,7.2,8.6,4.6,7.7
DGTSMREX,19.4,21.7,14,17.8,8.3,8.9,15.1,8.3,13.1,14.3,7.6,14.9,8,11.6,15.3,8.4,5.8,7.6,10.5,6,7.7
DGTSCTHO,19.4,22,13.9,16.4,8.5,9.5,15.2,8.7,11.6,14,14.7,14.6,13.4,17.5,25.6,8.2,6.6,7.6,9.7,5.8,7.1
DGTSCTAM,18.4,23.1,12.8,17.1,8.6,13.6,14.8,8.4,11.7,14.1,13.1,17.5,16.2,23.1,9.7,8.9,7.3,3.1,5.6,5.7,5.8
DGTSMRHO,19.7,23.6,12.1,15.7,8.5,13,15.3,8.6,11.6,12.8,14.6,27,7.8,21.4,15.6,8.8,4.1,3.1,5.3,5.5,5.6
DGTSMRAM,14.2,23.7,13.5,16.2,8.4,12.8,15.5,8.8,8.7,15.9,13.9,16,10.4,18,20.9,5.5,3.8,3.5,5.3,5.3,5.7
DUREA000,15.7,24.1,11.7,14.6,16.5,12.8,15.5,15.1,9.9,18.8,9.5,15.1,10.6,19.3,26.7,5.4,3.6,3,5.5,5.4,5.5
DUREA100,15.2,23.6,15.4,16.1,16.4,12.5,15.6,14.9,10.3,12.4,8.6,15.4,10.4,21,23.1,5.4,3.4,3,5.5,5.1,5.4
DUREA101,15.7,24.4,15.4,23.3,16.6,12.3,47.9,14.5,11.5,14.5,10.6,15.6,10.4,18.2,19.1,5.5,3.5,3,5.3,6.1,5.3
DUREA102,17.4,26.1,48.1,24.5,17.5,12,38.1,14.4,8.1,9,9.5,15.8,9.1,15.3,31.2,5.4,3.7,3.2,5.2,5.8,5.4
DUREA103,17,25.5,48.6,24.1,17.3,11.8,48.8,14.2,8.6,13.4,12.4,15.7,9.1,20.8,18.5,5.6,3.5,3,5.3,5.6,8.6
DUREA104,16.8,19.3,48.2,25.1,15.8,11.5,42.4,14.1,9.1,16.2,13.8,16.7,9.7,18.9,8.8,5.5,3.7,2.8,5.3,8,8.4
DUREA105,16.4,24.2,48.9,11.5,16.1,11.5,57,14.1,9.6,13.9,142.2,16.8,7.3,15.5,3.7,7.4,4,3.1,5.5,6.9,8.3
DUREA106,16.4,19.4,49.6,12.1,15.2,11.4,60.3,14.1,13.3,14.1,14.5,17.1,10.4,16.3,8,7.6,4,3.7,8.4,7.1,8.1
DUREA200,16.5,20.2,49.5,12.5,15,11.3,71.6,13.8,12.5,16.2,13.7,16.9,10,20.7,23.6,7.6,5.3,5.1,8.2,6.9,8
DUREA201,16.8,21.7,51.7,12.6,16.9,14.3,89.4,13.7,11,14.8,14.6,17.6,11.3,6,4.7,7.5,5.5,5.3,8,6.6,7.6
DUREA202,16.8,22.2,50.8,17.3,14.1,13.9,88.2,13.4,10.8,12.8,14.2,18.7,9.9,7.2,4.7,7.5,8,5.3,8,6.5,7.6
DUREA203,16.4,23.1,49.4,17.7,14,13.6,99.5,13.1,10.6,12.4,13.8,20,9.2,9,4.6,6.6,8.1,5.3,7.9,6.4,7.2
DUREA204,27,23.7,53.1,18.4,14.9,13.5,127.2,15.2,10.4,12.1,13.7,17.3,9.3,9.4,4.6,6.5,8.3,5.1,7.8,6.6,7
DUREA205,26.6,24.3,57.3,19.2,14.7,13,145.9,14.4,10.4,14.8,13.7,15,9.3,7.9,4.7,6.6,8.4,5.1,7.7,6.5,6.7
DUREA206,26,23.9,54.4,20.3,14.5,12.7,13,14,11,11.2,14.5,14.2,8.7,8.5,4.8,6.7,8.6,4.9,7.7,6.4,6.6
DUREA207,26.1,24.2,13.1,20.5,14.4,12.4,16.1,13.3,11.6,12.1,14.6,21.7,8.4,7.3,4.8,6.1,8.8,5,7.5,6.4,7.6
DUREA208,25.1,23.3,12.4,19.9,14.3,12.3,12.2,13.6,11.4,11.8,14.8,22.5,7.9,7.9,4.8,6.2,8.8,4.8,7.4,6.4,7.6
DUREA209,24.5,14.1,11.7,19.9,14.5,12.1,13.3,13.5,12.1,13.1,14.8,29.9,8.1,14.2,5,6.9,8.5,5,8,6.2,7.5
DUREA210,24.6,24.8,12.2,18.1,14.3,11.9,12.6,13.4,8.8,11.1,15,26.4,7.9,14.3,5.6,6.7,9.1,5.1,7.9,6.5,7.5
DUREA211,24,19.2,11.7,18.4,13.7,13.1,15.9,13.2,14.4,11.9,14.8,25.1,7.5,13.9,6.4,7.2,9.3,5.4,3,6.5,7.5
DUREA212,25.1,14.7,11.9,17.5,14.2,13.3,14,13.6,14.6,11.7,16.2,37.1,10.8,14.5,7.5,7.1,10.9,6.2,2.8,6.5,7.5
DUREA213,24.7,19,25.6,24.3,14.4,12.3,10.9,13,14.9,24.1,15.2,36.6,8.1,15,7.3,7.1,11.2,6.2,2.7,6.5,7.3
DUREA300,24.8,20,27.4,26.1,13.8,12,12.1,10.4,15.4,12,15.9,31.7,16.7,15.7,7.5,7.2,8.4,6.2,2.4,6.5,7.3
DUREA301,23.4,18.8,27.5,26.7,13.6,13,10.7,10.4,14.8,12.1,15.2,32.3,15.8,15.9,7.6,7.1,8.5,6.1,2.9,6.5,7.2
DUREA302,19.3,9.1,27,27.2,13.5,13,10.5,10.8,15.7,13,15.7,14.3,16.6,15.8,7.6,6.9,7.5,6.1,3.4,6.6,7.2
DUREA400,14,9.3,26.9,26.6,12.7,13,10.5,11,17.4,12.6,16.3,17.5,16.7,16,8.5,7,7.4,6.2,3.6,6.6,7.2
DUREA401,20,9.3,30,28.5,12.7,13,10.2,10.8,15.6,13.9,16.1,15.1,15.9,19.6,7.7,7.1,7.2,6,4.1,6.6,6.8
DUREA402,20,9.8,29.6,27.2,12.6,17.5,9.9,10.9,18.7,13.4,17.4,16,17.1,18.8,7.8,7.7,7.2,6.2,4,6.6,9.9
DUREA500,23,9.8,26,27.9,12.1,17.6,10.8,11.5,15.6,13.8,16.7,20.1,21.5,7.5,7.8,7.4,6.8,6.1,3.8,6.6,9.7
DUREA501,25,10,26.2,24.5,12.2,18.1,11.3,10.8,16.5,11.8,17.5,14.9,21.7,17.1,7.8,8.4,7,5.8,3.4,6.5,9.5
DUREA502,42.2,9.1,27.6,26.8,11.9,17,10.5,11.3,18.9,11.4,17.7,23.5,24.9,16.4,8.3,8.2,6.9,5.9,3.7,8.7,9.4
DUREA503,39.8,9.8,24.3,24.7,12.2,17.4,10.3,10.4,15.8,13.8,14.2,8.8,23.2,17.2,8.5,8,6.4,5.6,3.6,8.6,9.2
DUREA504,41.5,10.1,26.2,28.3,12.3,17.2,10.6,9.9,15.1,12.9,13,9.1,10.4,17,6.8,7.9,8.1,6.9,3.5,8.5,9.1
DUREA505,38.4,9.9,23.7,39,12,17,12.9,12.4,15.9,19.8,23,9,18.4,18.1,6.8,7.8,8.4,7,3.4,8.4,9
DUREA506,41.9,10.3,24.6,37.5,12,17.1,12.8,12.2,15.3,17.7,23,8.6,14.8,18.8,6.6,7.7,9.6,7.1,3.6,8.2,9
DUREA600,45.7,11.1,26.3,32.6,16.2,16.5,12.6,11.9,14.8,16.8,18,8.5,13.6,17.4,6.6,7.7,7.7,7.2,3.9,7.9,8.9
DUREA601,49,18.6,14.8,39.7,15.6,15.4,11.2,11.9,14.7,17.1,18,8.9,14.9,17.5,6.5,7.6,7.9,7.2,4.9,7.7,8.7
