Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,80.6,33.8,48.8,220966,4641,63915,167188,143.8,893252,4715,10027.4,141.8,206.9,1350799,9115.9,4499060.8,140.8,107.8,1.8,0,13363
ACATIFLU,74.5,36.3,51.1,250501,5378.7,66548,204731,139.6,939478,4841.5,11393.7,151.1,206.6,1400008,7709.7,4994333.8,7296.9,113.5,2,0,10312.5
ACATIMMU,81.1,49.1,52.2,279562,30200000,67415,23.9,136.5,952051,4763.7,11066.3,162.4,211.8,1472587,8446.6,5302384.6,7800.1,121.3,2,0,9541.1
ACATMEAS,81.9,73.8,59.5,307935,32000000,67140,31.5,132.5,979227,146307,11971.1,159,212.8,1600323,3830238,5719551.3,8054.1,127.2,2,1704.5,10061.7
DGTSCTEX,92.9,71.7,58.6,333599,32900000,74328,33.2,139.8,1003663,146442,4183728,138.4,219.6,1712368,3932481,6110713.9,7247.8,130.9,2605.3,13001,5675272
DGTSMREX,90.9,80.1,58,342443,33800000,46.8,36.2,148.1,1074250,185980,4450125,3803,224.1,1848780,4013180,6724513.9,7750.3,148.6,2821.7,10573,5785875
DGTSCTHO,102.8,925.5,4016.8,378650,34900000,49.9,36.9,133.1,1036773,209943,4709286,4462,211.8,1946114,4272900,6897587.6,6951.3,144.7,2735.3,6372,5838714
DGTSCTAM,108.3,1095.6,3880.9,401831,37800000,48.5,42.4,141.3,1122370,210191,4957593,4499.7,243.6,2108457,4517997,6334941.6,7495.9,307780,48346,4056,5952407
DGTSMRHO,103.9,1036.9,3982.2,373508,39000000,50.3,51.9,7535.6,1160510,211155,5271495,4755.4,7096,2222292,4672839,75.7,844323,315068,46319,1215,6371505
DGTSMRAM,3369.3,1074.9,4136.2,414364,36100000,50.8,61.8,6888.2,1104229,226180,5489698,4578.7,7493.3,2122103,4883335,62.6,846100,359145,53689,1426,6200000
DUREA000,3638,1173.7,3815.5,33.5,39000000,50.5,69.7,6985.8,1200434,294906,5825017,4736.6,7919.6,2720236,5126395,70.2,938050,387065,55108,1270.5,6400000
DUREA100,3690.9,1187.5,3925.8,34.7,42000000,55.8,80.1,7125.5,82.3,314296,6062959,4755,8614.7,120.6,5286548,77.3,976771,426943,54960,6885,5500000
DUREA101,3446.7,1216.1,3994,40.9,27400000,3846.4,79.5,7728.4,85.1,368039,6296363,4718.5,8802.8,127.9,5599804,81.4,981007,435910,71046,4068,5700000
DUREA102,3792.4,1247.7,4297.3,46.3,35700000,3645.9,97.1,7684,89.4,243687,6562471,4772.8,10706.1,133.1,5172223,87.1,889264,517772,61034,3210,6000000
DUREA103,3870.6,1629.7,4386.2,51.6,97.6,3550.8,3056.5,7595.6,90.5,27.3,6473599,4777.8,11154.5,140.8,6013806,92.5,889276,35.6,60279,3310,6000000
DUREA104,4452.7,2308.3,3884.7,56.8,102.7,3697.1,3586.8,7571.7,93,27.2,6794197,4226.3,11404.5,153.9,82.2,101.2,962786,36.1,56060,3342,6500000
DUREA105,4461.6,2095.3,461472,61.4,104.8,3548.2,3790.6,7870.7,95.2,34.4,51.2,5081827,11988.7,165.3,84.1,103.3,1075020,40.8,57279,2988,69.4
DUREA106,5177.7,2257.6,468737,63,106.9,3357,3925.2,8324.3,101.7,38.6,55.4,5968231,12473.9,179.1,85.8,94.4,1206053,43.8,51716,2994,72.1
DUREA200,5576,38415,512446,69.5,109.6,3378.5,4003.3,7560.3,97.9,38.5,58.6,6559887,8579.4,188.9,91.7,11790.7,1203378,48.1,59273,2688,72.6
DUREA201,5437.9,39772,548663,73.7,117.9,138019,4600.7,8058.9,105.6,38.5,61.5,6938766,10010,205,97.2,10523.2,1141449,48.9,4.6,2819,73.8
DUREA202,4717440,39572,556213,68.4,120.7,152801,4659.2,2044894,108.7,41.2,65.1,7618418,1093142,216,100.6,63900000,110.8,57.8,4.4,3070,78.7
DUREA203,4830265,41354,593369,76.1,111,221800,5318.4,2035905,103.2,53.5,67.2,8180192,1178093,206.1,105.1,66100000,109,3309.5,5.1,3422,75.9
DUREA204,4734548,41976,615623,4875.4,119.3,245617,5785.2,2075328,114.3,57,70.7,8986534,1338929,262.5,110,62300000,118.6,3248.1,5.2,3737,77.7
DUREA205,4090445,42450,623356,4932.1,127.9,263503,6431.6,2078720,6111.5,66.7,73.4,9615732,1360401,8673.2,113,58500000,121.2,3664.7,5.2,1.3,66.5
DUREA206,4320134,44142,632305,6499,82.7,291690,5971,2163932,6246.5,44.1,75.9,10718642,1507774,8390.1,118.8,62300000,119.4,3949.6,6.7,0.8,68.8
DUREA207,4453226,43620,718378,6958.4,107.6,311201,7311.8,2237351,6524.2,1294.8,79,11614274,1648138,8383.3,109.2,62700000,106.1,4401.5,5.8,0.6,72.2
DUREA208,4503685,45565,92,6212.5,3097.4,334503,160476,2262548,6611.5,1273.4,77.8,11651977,1810267,8817.9,126.8,65700000,104.1,4493.9,5.7,0.6,72.1
DUREA209,3846088,50446,92.3,6415.3,3042.1,413821,174108,2281227,6616.4,1576.1,81.7,13038849,1915694,8744.9,5865.6,69100000,110.5,5283.4,5.3,0.6,78.1
DUREA210,4567377,52892,99.8,6808.1,3012.5,429872,198311,2307172,6603,1779.2,2885.3,102.6,1980782,10253.7,5766.1,72100000,121,0,5.4,0.5,4757.1
DUREA211,78.3,66738,105.7,6585.4,2876,429699,224918,2353696,7114.2,1796.5,2988.7,119.5,2333134,10564.5,5782.7,71300000,133.2,0,4.8,0.5,4825.6
DUREA212,79.5,81.2,106.3,7281.7,3020.4,440840,242529,2365903,6866,1789.4,3145.8,130.7,65.8,10519.5,6043.7,58700000,130.6,0,5.6,0.5,4716.2
DUREA213,78,82.5,112.4,7727.5,3287,498144,264189,2586632,7241.1,1700.6,3283.2,137.6,70.6,11397.1,6310.1,68500000,121.8,0,4395.1,0.5,4923.4
DUREA300,67.5,80.3,115.9,6916.8,2950.6,18.1,278533,187.7,7345,2184.5,3465.8,150.1,79.4,12143.7,6331.8,206.6,15930.6,0,3859.9,0.6,4751.3
DUREA301,71.4,82.4,116.6,7023.1,3042.1,19.7,308161,184.4,6944.8,3453.8,3562.4,160.3,80.3,11228.1,6519.8,212.1,15108.9,0,3834.9,0.6,4679.2
DUREA302,73.7,82.2,117.5,2775004,3163.8,28,334209,186.8,7502.7,4089.3,3705.5,175.5,88.5,14392.8,6683.7,198.5,15899.2,0,3936.3,0.7,4833.8
DUREA400,75.4,81.9,132.8,2945049,2384.7,30.5,351130,186.3,620710,2592.4,3827.6,187.2,96.2,392498,6708.8,185.1,15754.4,0,4996.4,0,4166.7
DUREA401,64.7,83.8,24183.2,3019026,2831.1,32.1,356670,193.1,692274,5991125,4007.9,207.8,105.1,447900,6973.6,195.7,15092.4,0,3947,3444000,4197.3
DUREA402,77.2,81.4,21191.8,3241275,145121,34.8,396230,198.4,727661,6399076,4206.7,224.4,110.4,468765,6106.5,195.5,13077.4,0,4694.9,3669000,4379.6
DUREA500,3107.7,83.5,12071,3597706,191891,36.4,369318,199.7,796727,6522283,4081.7,224.8,113.6,551407,6594.1,203.4,12703.9,0,3767.4,4739000,4285.7
DUREA501,3034.1,90.6,6702.8,3637973,222173,38.4,7.3,200.5,845889,7909566,4178.5,252,133.1,569613,730432,212.5,13188.8,0,3503.8,4206057,4609.9
DUREA502,2760.7,93.3,6199.1,3869114,266335,46.6,7.8,201.9,906547,7564982,740000,4148.4,5634.8,610039,804455,220.6,14145,0,3369.4,4331630,1260000
DUREA503,2375.4,116,4276.1,4125858,332095,47.5,8.7,204.9,909709,8069499,67,4673.6,5861.2,644569,830373,217.2,15266.5,0,3447.7,4488288,114.1
DUREA504,2490,5487.9,1003107,4323422,361103,46.6,9.7,205,990012,8274448,4378.7,4895.4,6086,673051,870914,177.1,14856.5,0,3704.6,4671306,6300
DUREA505,2569.7,5681.7,1056804,4671036,448912,47,10.3,223.3,1065657,7937441,384455,5013.6,5993,686258,928960,206.4,14824,0,0,4749149,762451
DUREA506,2495.1,5653.1,1131883,4014485,573207,52.1,11.1,14200.7,1103299,8162305,400325,5508.6,7012.9,711037,970164,8201,26297,0,0,4944324,804841
DUREA600,2077.8,5907.7,1309036,5190453,449349,8118.8,11.5,14138.2,1137753,8249034,427572,5834.7,7424,639905,1034229,7368.4,25943,0,0,5135649,841806
DUREA601,2323.2,5996.6,1414169,59.6,546851,7276.2,12.5,13052.4,1205224,8310754,525733,6210.5,7769.4,734854,1052045,6866.2,26106,0,0,5037711,869797
DUREA602,14287678,6064.3,1602401,63,400101,8530.8,13.4,8381.9,111.9,9062144,39.3,6453.5,7851.2,72.8,1178655,7377.1,26409,0,3409,5694916,953801
DUREA603,112.3,6306,1537374,64.5,536057,9446.8,13.9,9169.2,124.3,92.4,41,7065.7,8287.8,83,90.3,7198.6,29659,0,13001,53.1,1027823
DUREA604,2172.4,6231.4,1994966,69.5,8.5,8234.5,13.9,8671.9,130.1,98.3,43.9,7411.8,9008.2,86.7,98.2,7373.7,30653,0,10573,56.3,1140243
DUREA605,911651,6509.3,26.4,77.4,11.1,8334,15.4,8635.7,141.9,99.7,54.1,7223.8,97983,101.9,100.3,7830,30245,0,6372,72.4,1199014
DUREA700,1163539,5605.1,27.8,78.3,12.7,6915.6,14.2,8707,149.9,120.3,34227,7793.7,107437,105.1,104,7621.6,29617,0,4056,63.9,1338549
DUREA701,1216240,4808.4,29.8,83.2,15.1,7117.1,1220761,8739.3,159.5,114.1,40158,92248,118006,112.5,109.9,7650.2,31679,0,2430,65.3,1412357
DUREA702,1319955,6067.1,34.5,88.6,18.7,8621.3,1095220,8749.8,158.8,121.3,40497,97413,127606,118.7,113.9,6636.5,35575,0,2852,67.4,1284965
DUREA800,1518786,815403,37.2,92.4,20.1,9146.2,1124707,8795.2,171.7,124,42799,102955,22.5,123.7,120.6,7640.8,33768,0,2541,70,1459069
DUREA900,1591266,834384,42.2,99.1,24.7,9341.3,1132961,9405.9,183.9,118.6,41208,103376,24.5,126,121.8,160531,36815,0,0,71,76.2
DUREA901,1732931,864136,40.6,84.8,31.1,9379.6,1228821,4201214,189.8,121.5,42629,105633,26.8,130.4,135.4,171603,12.8,0,0,73.6,80.7
DUREA902,1866580,876864,52.9,109.5,24,9962.9,1206386,4310198,195.1,122.4,47550,107061,28.7,117.2,3765.1,177191,12.6,0,0,76.2,84.9
DUREA903,2530946,831782,3996.4,4973.1,28.6,48904,1192506,4352284,205.8,123,51904,111545,3248038,134.9,4002.3,173946,12.7,0,0,74.6,87.9
DUREA904,3822527,875445,3644.2,4580.2,20.6,64563,1166043,4570842,4083.6,133.7,57273,114045,2843669,5946.9,4131.2,178256,12.8,0,0.6,84,96.7
DUREA905,3719106,898653,3785.6,4369.1,27.2,68231,1235694,123.5,4273.3,9464.7,57334,119887,3626768,6398.6,4248.4,166830,14.4,0,2.3,25894.7,104.4
DUREA906,4144953,1031353,4349,4533.3,2702.7,74578,1315234,125.5,3976.3,9301,50715,124739,85.6,6250.2,4402.7,187397,14.9,0,1.8,28664.1,116.2
DUREA907,18.4,1021986,4040.5,4989.9,2885.4,76062,1186972,125.4,3793.9,8885.9,107.6,120111,75,7658.4,4470.8,122,14.6,0,1.1,31805.4,122.5
DUREA908,23.3,1017786,4552.3,4942.9,2296,87414,1265251,130.3,4009,9936.6,125.9,140140,96.1,8022.7,4722.5,130.4,14.3,0,0.7,26790.2,136.9
DUREA909,24.2,49.1,3872.5,5172.6,1976.8,107161,146,9133.1,4256.1,9270.8,126.3,195,5937.9,8026.8,4655.1,134.5,15.3,62526,0.4,21658.2,144.5
DUREA910,26.2,50,4618,5407.4,2536.3,127641,130.5,9017.2,4079.4,9427,132.2,202.1,4819.8,8952.3,5169.5,131.6,17,67721,0.5,18171.2,131.8
DUREA911,29.9,51.2,180390,5370.7,61542,144631,133.4,8973.8,4342.2,9723.2,125.9,209,5554,9615,4752232,134.3,16.1,68382,0.4,16683.2,150.3
DUREB000,31.2,51.8,187420,5621,65627,167221,133.6,861721,4653.5,9632.8,128.9,206,1274959,8798.2,3985711.3,125.5,17.5,71816,0,14092.4,16589
