Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,2.9,3.1,3.9,3,8.2,8.8,16.1,6.9,3.9,5.1,6.9,10.6,5.5,8.1,6.8,5.6,3.5,3,5.2,3.7,2.3
ACATIFLU,2.9,2.7,4,2.4,8.5,8.8,16.5,7.3,4,5.3,7,10.8,5.2,8.1,7.2,5.7,3.3,3,5.2,3.2,5.5
ACATIMMU,3.7,2.7,4.3,18.2,8.2,8.8,16.8,7.1,4.1,5.4,6.8,11,5.1,7.9,7.5,6,3.3,3,5.3,4.3,4.6
ACATMEAS,3.7,2.4,4.4,18.3,8.3,9.1,17.8,7,4.2,5.4,7.2,11.5,5.1,7.8,7.1,8.1,4,3.1,5.3,3.4,4.3
DGTSCTEX,3.8,2.5,4.3,17.5,8.3,8.8,17.3,7,7.4,5.6,6.9,11.2,5.1,8.5,9.3,9,4.3,3.3,4.9,3.1,4.5
DGTSMREX,3.9,2.4,4.1,15.9,8.3,9.5,18.3,7.1,7.1,5.7,6.7,11.8,5.3,8,7.8,9.1,5.4,3.6,4.9,3.2,3.7
DGTSCTHO,3.7,2.4,4.3,16.2,8.5,9.3,19,7.2,7,6,6.7,12.1,5.5,3.8,3.7,8.8,4.8,3.9,4.9,3.1,3.9
DGTSCTAM,3.7,2.5,4.4,16.4,8.5,9.2,17.9,7.3,7,7.3,6.7,13,8.2,3.7,4.2,8.6,6.1,3.8,4.9,3,3.7
DGTSMRHO,3.7,2.5,4.6,18.3,6.9,9.1,19.1,7.3,6.9,7,6.6,13,8.1,3.5,3.7,7.8,6.8,4.1,5,3,3.7
DGTSMRAM,3.6,2.5,4.6,14.5,6.8,9,18.5,7.3,6.8,7.3,6.5,9.6,8.2,3.5,3.7,7.5,7,4,4.9,2.9,3.5
DUREA000,3.7,2.3,4.6,17.7,6.7,9,9,7.4,6.8,7.7,6.4,9.8,8,3.6,3.6,6.6,7.7,3.9,4.7,2.9,3.6
DUREA100,3.7,2.4,5,15.6,6.6,8.9,8.6,7.5,6.6,7.6,6.4,8.6,7.7,3.9,3.7,6.5,7.6,4.4,4.8,2.9,3.7
