Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,15317,0,77.3,4.3,6748,26423.3,4433.3,36.8,814,23.1,3840921,956697,4713.2,5606.5,18100000,41.5,39.1,100044,11.5,116.1,2988
ACATIFLU,15857,0,80.4,4.6,9956,27334.7,4461.1,38.1,889.4,1803.6,17.6,952611,5017.3,5047.6,17800000,40.8,40.6,104493,12.7,120.6,3026.3
ACATIMMU,13256,0,83.1,4.9,2399,29031.3,4307.6,39.4,900.8,1851.6,22.1,920546,4944.8,4944.2,19000000,44.6,42.9,109496,13.7,125.2,3342
ACATMEAS,17697,0,85.9,5.1,2552,29403.7,3673.2,41.9,836,1868.1,23.2,46.8,5307.6,5084.4,16900000,9785.7,46.1,114086,14.6,127.5,3790.8
DGTSCTEX,20539,0,84.7,5.5,1238,32321,3987.4,43.2,846.8,1889.8,25.1,47,5269.5,5496.5,19100000,10687.7,49.3,122018,14.4,134.6,4540.5
DGTSMREX,21147,0,90.5,4.2,941.7,26049.8,718370,48.8,978.6,1993.1,28.4,50,5641.7,5583.6,46.2,9576.1,49,120407,20,5190.2,4695.8
DGTSCTHO,21495,0,572032,7,1348,23372.2,774624,45,1017.9,1991.8,29.7,49.8,4913.5,5808.4,51,9168.2,54.4,135266,19.9,5032.6,5715.8
DGTSCTAM,22891,0,565178,1788.9,125480,25196.4,822242,51.9,1046.4,2014.1,32.3,47,6176.5,5997.7,56.4,7024.1,51,148685,20.5,5421.4,6362.3
DGTSMRHO,26348,0,772637,1973.7,136700,23295.5,860822,5230.1,585.9,1986.7,34.7,48.7,41826,5920.6,55.4,7115.6,601757,6.2,21.7,5906.2,6338.5
DGTSMRAM,28226,0,15.1,1967.7,162400,20497.6,913420,5413.7,1992258,1994.1,46.6,50,48643,6151.3,56.8,8463.3,627576,7.5,22.9,5727.8,40855
DUREA000,52.2,0,14.9,1842.2,162000,24823.6,964597,5872.3,2214020,1963.8,68.9,55.2,55612,5041.3,53.9,9424.8,715337,8.6,23.4,5275,58430
DUREA100,48,0,20.5,1875.3,174000,28304,1013051,5956.1,2362435,1744.1,66.8,54.6,66427,5498.9,51.1,9334.5,803856,9,25.4,5323.2,52970
DUREA101,49.4,0,4000.2,1998.8,210756,30719,1068596,5869.6,2708075,1755.9,74.2,52.5,64667,489717,55.7,8881.7,857190,9.5,0,5203.3,55247
DUREA102,40.9,0,3305.1,2101,275121,34868,1090132,5652,2760462,88000,1069.8,4052.1,69172,537774,54.5,9475,863582,9.9,1911000,5431.8,77376
DUREA103,54.1,0,4316.4,2248.6,302673,37536,1127295,5483.2,2986999,8,1268.8,3900.5,85451,578652,57.9,4159,1002672,10.4,2183000,5652.2,75991
DUREA104,62.1,0,91691,2247,227329,40809,1008721,5351.2,3254206,1294.1,1198,4172,89198,604485,51,4112,69.6,10.8,3002000,5760.9,78827
DUREA105,63,0,86883,2552.2,232908,42657,1207215,5165.1,3261757,41121,1229.1,4303.2,91526,626538,57.5,4151,71.8,11.5,3166701,6087,85813
DUREA106,62.6,0,112892,1934.7,178290,44207,65.9,5426,3338541,44628,1330.9,3958.4,91938,662580,2502.2,4996,81.3,11.3,3467733,662000,125925
DUREA200,64.9,0,113143,3181.7,328057,46877,70.2,4913.8,3324774,41712,1349.3,4048.9,86494,696231,3467.2,5703,90.9,12.6,3843650,59.9,254799
DUREA201,73.1,0,160777,18000000,16.5,49824,74,5346.7,3228276,46820,1383,4080,101703,677057,3216.9,5724,96.5,14.2,4134390,3804.6,258087
DUREA202,77,0,237170,19200000,17.6,51802,77.1,337473,3708272,4.2,1408.8,4408.7,7.8,770099,3200.7,5598,96.8,5884,4368017,316914,304032
DUREA203,5529.7,0,236702,18300000,20.5,57445,81.5,364038,30.7,4.6,1830.3,4557.9,9,60.5,2876.1,6297,112,7149,4667439,325732,0.8
DUREA204,3829.3,0,164053,17500000,20.1,62434,85.6,374472,34,4.3,2555.7,3867.8,10.3,65.7,3064.1,6315,6916.7,8192.2,4951788,337032,1.2
DUREA205,3964.3,0,158827,18900000,21.2,54728,89.4,338372,36.1,4.8,2321.3,15559,12.3,69.9,3186.6,6824,6275.8,6733,4694436,336043,1.1
DUREA206,3314,3789,162430,16000000,25.1,1.3,93.9,388449,41.2,12509,2507.1,16864,11.9,72.2,2939.7,6335,6878.2,8337,5532242,350902,1.1
DUREA207,4424.3,3694,144432,16300000,32.2,1.4,95.4,377734,41.6,13445,38415,18214,12.8,74.1,3201.3,6637,7443.1,6146.6,29.5,371306,1.5
DUREA208,5134.8,2658,175111,14200000,34.7,1.5,98.1,374864,44.9,13884,39772,19367,15.7,77.8,3075.5,2,7389.6,7821.1,33.5,414515,1.5
DUREA209,7049,8478,17,16600000,25.6,1.6,87.4,437679,48.8,12022,39572,3.6,16.4,81.2,3210.1,2,7196.5,6710.9,45.9,433309,1.5
DUREA210,5373.8,2064,16.1,20100000,25.7,1.7,104.2,455908,48.7,13179,41354,3.8,16.8,78.4,45933,2,7654,5810.4,48.1,460348,1.7
DUREA211,4578.2,3433,20.9,14300000,19.3,1.8,6192.8,515105,49.7,11931,41976,4.1,16.9,88.5,50397,2.4,0,8027.1,52.3,484862,2.4
DUREA212,5269.6,3557,20.9,16000000,35,1.8,6564.6,518948,49.3,13007,42450,4.4,15.8,3022.9,53310,2.8,0,6763.3,57.8,394492,4.9
